SL NO.,ITEM DESCRIPTION,MODEL NO.,Pixel pitch,Size,HSN Code,Brand Name,Type,Cabinet Type,GST Percentage,REFRESH RATE,Pricing Range,category_slug
1,Unilumin Kslim 1.9,K Slim 1.9,1.9,500 mm X 1000 mm,85285900,Unilumin,Active LED Al diecast,Al diecast,28,3840,,indoor_led
2,Unilumin KSlim 2.5,KSlim 2.5,2.5,500 mm X 1000 mm,85285900,Unilumin,Active LED Al diecast,Al diecast,28,3840,,indoor_led
3,Unilumin FCQ 1.2,FCQ1.2,1.2,640 mm X 360 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
4,Unilumin FCQ 1.5,FCQ1.5,1.5,640 mm X 360 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
5,Unilumin FCQ 2.5,FCQ2.5,2.5,640 mm X 360 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
6,Unilumin ULWIII 1.8,ULWIII 1.8,1.8,600 mm X 337.5 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
7,Unilumin ULWIII 1.5,ULWIII 1.5,1.5,600 mm X 337.5 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
8,Unilumin UDA 1.8,UDA 1.8,1.8,640 mm X 480 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
9,Unilumin UDA 2.5,UDA 2.5,2.5,640 mm X 480 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
10,Unilumin UTV SC 135(1.5),UTV SC 135,1.5,3011 mm x 1813 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
11,Unilumin UTV SC 108(1.2),UTV SC 108,1.2,2411 mm x 1476 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
12,Unilumin UTV SC 165(1.8),UTV SC 165,1.8,3611 mmx 2151 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
13,Unilumin Umini 1.2,UMINI 1.2,1.2,600 mm X 337.5 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
14,Unilumin Umini 0.9,UMINI 0.9,0.9,600 mm X 337.5 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
15,Unilumin Umini 1.5,UMINI 1.5,1.5,600 mm X 337.5 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
16,Unilumin UHF 1.8,UHF 1.8,1.8,250 mm X 250 mm,85285900,Unilumin,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
17,Absen CP 1.8,CP1.8,1.8,320 mm X 480 mm,85285900,Absen,Active LED Al diecast Indoor,Al diecast,28,3840,,indoor_led
